The second linear model has 1 hidden layer with 2 neurons. The same data is used as above.
The training performance is as follows:
Epoch: 110, Loss: 4.45794e+06, Time Elapsed: 47 milliseconds
Epoch: 111, Loss: 4.23787e+06, Time Elapsed: 48 milliseconds
Epoch: 112, Loss: 4.02886e+06, Time Elapsed: 51 milliseconds
Epoch: 113, Loss: 3.83035e+06, Time Elapsed: 46 milliseconds
Epoch: 114, Loss: 3.6418e+06, Time Elapsed: 46 milliseconds
Epoch: 115, Loss: 3.4627e+06, Time Elapsed: 47 milliseconds
Epoch: 116, Loss: 3.29258e+06, Time Elapsed: 49 milliseconds
Epoch: 117, Loss: 3.13096e+06, Time Elapsed: 45 milliseconds
Epoch: 118, Loss: 2.97743e+06, Time Elapsed: 46 milliseconds
Epoch: 119, Loss: 2.83156e+06, Time Elapsed: 46 milliseconds
Epoch: 120, Loss: 2.69296e+06, Time Elapsed: 61 milliseconds
Epoch: 121, Loss: 2.56128e+06, Time Elapsed: 56 milliseconds
Epoch: 122, Loss: 2.43614e+06, Time Elapsed: 49 milliseconds
Epoch: 123, Loss: 2.31724e+06, Time Elapsed: 51 milliseconds
Epoch: 124, Loss: 2.20424e+06, Time Elapsed: 47 milliseconds
Epoch: 125, Loss: 2.09685e+06, Time Elapsed: 46 milliseconds
Epoch: 126, Loss: 1.99478e+06, Time Elapsed: 48 milliseconds
Epoch: 127, Loss: 1.89777e+06, Time Elapsed: 46 milliseconds
Epoch: 128, Loss: 1.80556e+06, Time Elapsed: 48 milliseconds
Epoch: 129, Loss: 1.71792e+06, Time Elapsed: 46 milliseconds
Epoch: 130, Loss: 1.6346e+06, Time Elapsed: 47 milliseconds
Epoch: 131, Loss: 1.55539e+06, Time Elapsed: 47 milliseconds
Epoch: 132, Loss: 1.48009e+06, Time Elapsed: 49 milliseconds
Epoch: 133, Loss: 1.4085e+06, Time Elapsed: 51 milliseconds
Epoch: 134, Loss: 1.34044e+06, Time Elapsed: 46 milliseconds
Epoch: 135, Loss: 1.27572e+06, Time Elapsed: 47 milliseconds
Epoch: 136, Loss: 1.21417e+06, Time Elapsed: 51 milliseconds
Epoch: 137, Loss: 1.15565e+06, Time Elapsed: 46 milliseconds
Epoch: 138, Loss: 1.1e+06, Time Elapsed: 56 milliseconds
Epoch: 139, Loss: 1.04708e+06, Time Elapsed: 47 milliseconds
Epoch: 140, Loss: 996742, Time Elapsed: 48 milliseconds
Epoch: 141, Loss: 948868, Time Elapsed: 47 milliseconds
Epoch: 142, Loss: 903333, Time Elapsed: 46 milliseconds
Epoch: 143, Loss: 860021, Time Elapsed: 50 milliseconds
Epoch: 144, Loss: 818821, Time Elapsed: 50 milliseconds
Epoch: 145, Loss: 779628, Time Elapsed: 46 milliseconds
Epoch: 146, Loss: 742344, Time Elapsed: 46 milliseconds
Epoch: 147, Loss: 706872, Time Elapsed: 46 milliseconds
Epoch: 148, Loss: 673124, Time Elapsed: 56 milliseconds
Epoch: 149, Loss: 641015, Time Elapsed: 49 milliseconds
Epoch: 150, Loss: 610463, Time Elapsed: 48 milliseconds
Epoch: 151, Loss: 581392, Time Elapsed: 48 milliseconds
Epoch: 152, Loss: 553728, Time Elapsed: 53 milliseconds
Epoch: 153, Loss: 527403, Time Elapsed: 46 milliseconds
Epoch: 154, Loss: 502350, Time Elapsed: 47 milliseconds
Epoch: 155, Loss: 478508, Time Elapsed: 47 milliseconds
Epoch: 156, Loss: 455815, Time Elapsed: 47 milliseconds
Epoch: 157, Loss: 434217, Time Elapsed: 50 milliseconds
Epoch: 158, Loss: 413659, Time Elapsed: 49 milliseconds
Epoch: 159, Loss: 394091, Time Elapsed: 47 milliseconds
Epoch: 160, Loss: 375464, Time Elapsed: 49 milliseconds
Epoch: 161, Loss: 357732, Time Elapsed: 46 milliseconds
Epoch: 162, Loss: 340851, Time Elapsed: 46 milliseconds
Epoch: 163, Loss: 324780, Time Elapsed: 48 milliseconds
Epoch: 164, Loss: 309479, Time Elapsed: 48 milliseconds
Epoch: 165, Loss: 294911, Time Elapsed: 46 milliseconds
Epoch: 166, Loss: 281039, Time Elapsed: 46 milliseconds
Epoch: 167, Loss: 267832, Time Elapsed: 45 milliseconds
Epoch: 168, Loss: 255255, Time Elapsed: 52 milliseconds
Epoch: 169, Loss: 243278, Time Elapsed: 47 milliseconds
Epoch: 170, Loss: 231872, Time Elapsed: 48 milliseconds
Epoch: 171, Loss: 221010, Time Elapsed: 47 milliseconds
Epoch: 172, Loss: 210666, Time Elapsed: 51 milliseconds
Epoch: 173, Loss: 200813, Time Elapsed: 46 milliseconds
Epoch: 174, Loss: 191429, Time Elapsed: 47 milliseconds
Epoch: 175, Loss: 182490, Time Elapsed: 47 milliseconds
Epoch: 176, Loss: 173976, Time Elapsed: 60 milliseconds
Epoch: 177, Loss: 165865, Time Elapsed: 49 milliseconds
Epoch: 178, Loss: 158139, Time Elapsed: 47 milliseconds
Epoch: 179, Loss: 150778, Time Elapsed: 48 milliseconds
Epoch: 180, Loss: 143766, Time Elapsed: 53 milliseconds
Epoch: 181, Loss: 137085, Time Elapsed: 53 milliseconds
Epoch: 182, Loss: 130720, Time Elapsed: 47 milliseconds
Epoch: 183, Loss: 124655, Time Elapsed: 51 milliseconds
Epoch: 184, Loss: 118877, Time Elapsed: 52 milliseconds
Epoch: 185, Loss: 113370, Time Elapsed: 46 milliseconds
Epoch: 186, Loss: 108123, Time Elapsed: 46 milliseconds
Epoch: 187, Loss: 103123, Time Elapsed: 45 milliseconds
Epoch: 188, Loss: 98357.3, Time Elapsed: 48 milliseconds
Epoch: 189, Loss: 93815.9, Time Elapsed: 46 milliseconds
Epoch: 190, Loss: 89487.7, Time Elapsed: 48 milliseconds
Epoch: 191, Loss: 85362.4, Time Elapsed: 46 milliseconds
Epoch: 192, Loss: 81430.5, Time Elapsed: 51 milliseconds
Epoch: 193, Loss: 77682.7, Time Elapsed: 45 milliseconds
Epoch: 194, Loss: 74110.3, Time Elapsed: 47 milliseconds
Epoch: 195, Loss: 70704.9, Time Elapsed: 45 milliseconds
Epoch: 196, Loss: 67458.6, Time Elapsed: 51 milliseconds
Epoch: 197, Loss: 64363.9, Time Elapsed: 46 milliseconds
Epoch: 198, Loss: 61413.6, Time Elapsed: 46 milliseconds
Epoch: 199, Loss: 58600.8, Time Elapsed: 47 milliseconds
Epoch: 200, Loss: 55919, Time Elapsed: 50 milliseconds
Epoch: 201, Loss: 53362, Time Elapsed: 46 milliseconds
Epoch: 202, Loss: 50923.9, Time Elapsed: 46 milliseconds
Epoch: 203, Loss: 48599.1, Time Elapsed: 46 milliseconds
Epoch: 204, Loss: 46382.3, Time Elapsed: 53 milliseconds
Epoch: 205, Loss: 44268.4, Time Elapsed: 52 milliseconds
Epoch: 206, Loss: 42252.5, Time Elapsed: 49 milliseconds
Epoch: 207, Loss: 40330, Time Elapsed: 46 milliseconds
Epoch: 208, Loss: 38496.4, Time Elapsed: 53 milliseconds
Epoch: 209, Loss: 36747.7, Time Elapsed: 47 milliseconds
Epoch: 210, Loss: 35079.9, Time Elapsed: 47 milliseconds
Epoch: 211, Loss: 33489.1, Time Elapsed: 46 milliseconds
Epoch: 212, Loss: 31971.7, Time Elapsed: 52 milliseconds
Epoch: 213, Loss: 30524.3, Time Elapsed: 46 milliseconds
Epoch: 214, Loss: 29143.6, Time Elapsed: 46 milliseconds
Epoch: 215, Loss: 27826.4, Time Elapsed: 46 milliseconds
Epoch: 216, Loss: 26569.9, Time Elapsed: 49 milliseconds
Epoch: 217, Loss: 25371.2, Time Elapsed: 48 milliseconds
Epoch: 218, Loss: 24227.5, Time Elapsed: 46 milliseconds
Epoch: 219, Loss: 23136.4, Time Elapsed: 47 milliseconds
Epoch: 220, Loss: 22095.3, Time Elapsed: 49 milliseconds
Epoch: 221, Loss: 21101.9, Time Elapsed: 45 milliseconds
Epoch: 222, Loss: 20154.1, Time Elapsed: 46 milliseconds
Epoch: 223, Loss: 19249.6, Time Elapsed: 52 milliseconds
Epoch: 224, Loss: 18386.5, Time Elapsed: 51 milliseconds
Epoch: 225, Loss: 17562.8, Time Elapsed: 46 milliseconds
Epoch: 226, Loss: 16776.8, Time Elapsed: 46 milliseconds
Epoch: 227, Loss: 16026.6, Time Elapsed: 46 milliseconds
